,newts_buffer,newts_corridor,ponds_buffer,ponds_corridor
0,22.0,35.0,3.0,6.0
1,11.0,35.0,4.0,6.0
2,34.0,61.0,3.0,7.0
3,64.0,63.0,6.0,7.0
4,26.0,24.0,4.0,5.0
5,26.0,32.0,4.0,5.0
6,30.0,44.0,3.0,6.0
7,28.0,32.0,4.0,6.0
8,0.0,48.0,0.0,7.0
9,39.0,33.0,5.0,6.0
10,9.0,34.0,2.0,7.0
11,14.0,7.0,3.0,2.0
12,69.0,61.0,6.0,6.0
13,31.0,50.0,4.0,7.0
14,11.0,29.0,1.0,5.0
15,91.0,91.0,7.0,7.0
16,60.0,70.0,5.0,7.0
17,53.0,75.0,4.0,7.0
18,54.0,72.0,7.0,7.0
19,67.0,93.0,6.0,7.0
20,57.0,66.0,7.0,7.0
21,92.0,64.0,7.0,6.0
22,60.0,58.0,6.0,7.0
23,65.0,64.0,6.0,7.0
24,125.0,126.0,7.0,7.0
25,106.0,92.0,7.0,6.0
26,147.0,109.0,7.0,7.0
27,58.0,7.0,5.0,2.0
28,138.0,123.0,7.0,7.0
29,110.0,86.0,7.0,7.0
30,119.0,108.0,7.0,7.0
31,140.0,76.0,7.0,7.0
32,97.0,89.0,7.0,7.0
33,136.0,109.0,7.0,6.0
34,110.0,109.0,7.0,7.0
35,116.0,105.0,7.0,7.0
36,87.0,21.0,6.0,3.0
37,60.0,27.0,6.0,4.0
38,148.0,139.0,7.0,7.0
39,65.0,0.0,7.0,0.0
40,103.0,55.0,7.0,4.0
41,87.0,58.0,6.0,5.0
42,134.0,10.0,7.0,4.0
43,115.0,33.0,7.0,4.0
44,88.0,52.0,7.0,7.0
45,92.0,47.0,6.0,5.0
46,114.0,52.0,7.0,6.0
47,127.0,39.0,7.0,7.0
48,5.0,0.0,1.0,0.0
49,2.0,4.0,1.0,1.0
50,52.0,0.0,4.0,0.0
51,50.0,10.0,6.0,1.0
52,18.0,7.0,3.0,2.0
53,6.0,0.0,2.0,0.0
54,16.0,1.0,3.0,1.0
55,6.0,0.0,1.0,0.0
56,7.0,0.0,2.0,0.0
57,7.0,13.0,1.0,2.0
58,0.0,0.0,0.0,0.0
59,0.0,9.0,0.0,1.0
60,122.0,117.0,7.0,7.0
61,79.0,34.0,7.0,4.0
62,98.0,73.0,7.0,7.0
63,109.0,111.0,7.0,7.0
64,129.0,113.0,7.0,7.0
65,136.0,109.0,7.0,7.0
66,116.0,117.0,7.0,7.0
67,122.0,104.0,7.0,7.0
68,90.0,81.0,7.0,6.0
69,114.0,112.0,7.0,7.0
70,131.0,125.0,7.0,7.0
71,134.0,121.0,7.0,7.0
72,137.0,118.0,7.0,7.0
73,117.0,132.0,7.0,7.0
74,52.0,47.0,7.0,6.0
75,37.0,70.0,5.0,7.0
76,147.0,135.0,7.0,7.0
77,126.0,116.0,7.0,7.0
78,129.0,115.0,7.0,7.0
79,141.0,138.0,7.0,7.0
80,158.0,138.0,7.0,7.0
81,119.0,100.0,7.0,7.0
82,120.0,135.0,7.0,7.0
83,130.0,126.0,7.0,7.0
84,25.0,17.0,5.0,3.0
85,97.0,57.0,7.0,6.0
86,45.0,24.0,6.0,6.0
87,25.0,5.0,5.0,2.0
88,20.0,7.0,4.0,2.0
89,21.0,5.0,4.0,2.0
90,44.0,3.0,6.0,2.0
91,16.0,41.0,4.0,7.0
92,25.0,18.0,4.0,5.0
93,35.0,21.0,6.0,4.0
94,29.0,12.0,6.0,3.0
95,25.0,20.0,5.0,4.0
96,7.0,0.0,1.0,0.0
97,8.0,0.0,2.0,0.0
98,41.0,18.0,7.0,4.0
99,7.0,37.0,1.0,7.0
100,0.0,0.0,0.0,0.0
101,1.0,0.0,1.0,0.0
102,5.0,0.0,1.0,0.0
103,0.0,0.0,0.0,0.0
104,4.0,0.0,1.0,0.0
105,7.0,0.0,2.0,0.0
106,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0
108,106.0,110.0,7.0,7.0
109,1.0,0.0,1.0,0.0
110,20.0,23.0,2.0,5.0
111,66.0,120.0,6.0,7.0
112,84.0,122.0,6.0,7.0
113,122.0,110.0,7.0,7.0
114,101.0,133.0,6.0,7.0
115,113.0,133.0,7.0,7.0
116,108.0,140.0,6.0,7.0
117,146.0,129.0,7.0,7.0
118,129.0,138.0,7.0,7.0
119,97.0,97.0,6.0,5.0
